"Status","Name","Duration in ms","Description"
"passed","tests.test_0_user.Test_user#test_user","273",""
"passed","tests.test_0_user.Test_user#test_user","190",""
"passed","tests.test_1_human_resources.Test_human_resources#test_addHR","425",""
"passed","tests.test_0_user.Test_user#test_user","270",""
"passed","tests.test_0_user.Test_user#test_user","246",""
"passed","tests.test_1_human_resources.Test_human_resources#test_delHR","143",""
"passed","tests.test_0_user.Test_user#test_user","204",""
"passed","tests.test_1_human_resources.Test_human_resources#test_getHR","178",""
